customer_id,first_name,last_name,Phone number,address,purchases
3714,Cristina,Becker,-250 458-0550,Minnesota,64534
4025,Gianna,Mclaughlin,-647 376-0021,Hempstead,299708
3650,Dustin,Hudson,-468 205-0680,Alabama,229760
3192,Cortez,Keith,-934 435-1661,Michigan,284761
6635,Alex,Potts,-225 915-9534,North,306286
5106,Julio,Trevino,-572 520-3514,Wisconsin,157644
5114,Eve,Duke,-534 843-1541,Christi,102350
4744,Madilyn,Turner,-253 280-3974,Nebraska,181748
9475,Madisyn,Russell,-584 745-7160,Arizona,289744
8976,Maci,Mcneil,-766 984-5090,Vista,152253
7556,Kayden,Houston,-283 316-9266,Illinois,319675
9649,Jolie,Sharp,-410 558-4563,Kansas,205773
6116,Mariana,Bates,-421 771-7158,Florida,84319
3713,Max,Oconnor,-638 983-4965,New,129945
4946,Ansley,Hubbard,-373 747-5803,York,160813
9565,Maggie,Mcbride,-348 894-3435,Indiana,152576
3749,Katelyn,Stokes,-642 212-6303,Colorado,135308
9027,Billy,Phelps,-722 794-0072,Ohio,50953
3938,Kamron,Beard,-376 822-9569,Hawaii,29411
4330,Uriah,Griffin,-340 861-5198,Idaho,201573
9564,Joshua,Whitehead,-941 983-2994,Ohio,246889
9866,Peyton,Hendricks,-400 295-7675,Tennessee,205775
6159,Brynlee,Mcgee,-811 713-8372,California,146368
5058,Matthew,Bowers,-484 414-2466,Georgia,95275
7734,Yahir,Spence,-967 619-6150,California,65976
7865,Ryker,Zamora,-495 268-2512,Arizona,136465
4253,Maddox,Davidson,-551 756-2852,Florida,40014
3594,Lamont,Gamble,-859 601-8503,Paso,281207
5634,Haylee,Best,-270 329-1096,Jose,192212
9711,Sage,Vaughan,-268 606-7577,Worth,43115
9210,Sullivan,Schmitt,-952 909-4183,Vegas,240307
9420,Reid,Rivers,-594 777-9246,Springs,40900
5138,Diego,Bright,-530 412-6290,Texas,253848
3392,Brynlee,Nguyen,-807 723-2311,New,282696
9859,Evan,Koch,-660 599-9155,Oregon,103953
9684,Raelynn,Underwood,-938 679-6784,District,148114
5651,Crystal,Woodward,-557 708-1382,Minnesota,226323
4154,Leonardo,Kaiser,-631 393-2586,Hempstead,57444
9179,Mercedes,Mcdaniel,-394 299-9480,Alabama,127694
4368,Justin,Figueroa,-434 786-9420,Michigan,27071
4329,Avery,Willis,-380 642-2759,North,68448
6053,Kenyon,Hines,-970 443-2946,Wisconsin,49786
8875,Dylan,Golden,-925 637-5408,Christi,113142
7280,Angelo,Chapman,-984 457-2996,Nebraska,133758
7190,Zachary,Jones,-810 840-1226,Arizona,82733
6163,Bronson,Floyd,-430 262-6531,Vista,58802
6335,Hugh,Day,-780 962-7072,Illinois,199756
6631,Itzel,Nash,-883 935-0492,Kansas,210400
4194,Janiya,Gross,-401 223-7615,Florida,182969
6623,Genevieve,George,-869 959-3938,New,212139
7295,Amina,Mcdaniel,-726 608-8093,York,122952
9450,Phoenix,Wolfe,-914 837-6978,Indiana,238880
3798,Dominick,Buckley,-553 402-3986,Colorado,218680
9155,Hugo,Salinas,-569 304-8997,Ohio,121359
8537,Jade,Welch,-420 491-7326,Hawaii,294605
7893,Kathryn,Sexton,-391 849-9719,Idaho,154105
3507,Octavio,Mays,-628 552-1649,Ohio,151529
8589,Gisselle,Ochoa,-561 395-6468,Tennessee,315545
4573,Aldo,Singh,-961 416-1523,California,144537
8808,Taniyah,Potter,-812 508-8188,Georgia,103735
9217,Tripp,Moore,-565 724-5790,California,248563
8738,Ashanti,Hickman,-948 348-8082,Arizona,145230
7686,Quinton,Sawyer,-719 979-7961,Florida,255201
7566,Mya,Roberson,-766 378-1695,Paso,293489
4642,Killian,Sloan,-264 668-4187,Jose,106770
4521,Julien,Baxter,-407 450-8662,Worth,44329
9389,Adam,Lambert,-729 667-2704,Vegas,85500
4442,Kelvin,Hunt,-443 955-7598,Springs,136493
4369,Kadence,Byrd,-822 230-3543,Texas,267845
5495,Kristen,Bird,-800 396-7443,New,132827
5546,Hazel,Wheeler,-876 789-8703,Oregon,266330
4465,Kai,Holland,-540 329-6033,District,113975
6135,Rylee,Randolph,-231 465-8834,Minnesota,144817
9081,Joseph,Hammond,-622 452-6791,Hempstead,220657
6148,Aiyana,Mcmahon,-244 995-9954,Alabama,314836
3188,Laylah,Garza,-568 300-7230,Michigan,45256
5434,Aliyah,Schneider,-231 697-4114,North,154560
8262,Isai,Osborn,-536 471-6812,Wisconsin,204923
6115,Sarai,Parsons,-358 269-3034,Christi,273620
8197,Molly,Parker,-618 547-6075,Nebraska,35641
5660,Sloane,Hale,-440 427-3851,Arizona,163452
8807,Isaac,Dickson,-652 604-5844,Vista,154063
8193,Kamora,Clay,-772 549-9290,Illinois,83246
5655,King,Arellano,-959 958-3409,Kansas,301723
7229,Eliana,Burgess,-310 661-5577,Florida,202738
3189,Rubi,Bryan,-976 335-3906,New,235425
3293,Emmett,Bishop,-654 844-4932,York,164359
7062,Anastasia,Duran,-715 977-8888,Indiana,53169
8927,Demarion,Rivers,-676 954-9029,Colorado,315706
6286,Anna,Bradley,-881 456-1450,Ohio,172655
8443,Corey,Quinn,-324 712-4604,Hawaii,305357
6177,Sofia,Hanna,-351 220-0588,Idaho,79579
6118,Sarah,Bridges,-962 483-7532,Ohio,137826
9777,Mikayla,Bullock,-273 215-8362,Tennessee,226743
3986,Delaney,Love,-599 698-4971,California,278395
4881,Paisley,Chaney,-811 798-3358,Georgia,71172
6962,Titus,Holden,-980 844-3451,California,227717
5163,Deandre,Gallagher,-215 768-4798,Arizona,309953
7487,Catalina,Schmitt,-982 290-0066,Florida,57532
9850,Kevin,Huynh,-917 618-2504,Paso,273080
5457,Kristen,Bentley,-823 604-9010,Jose,225242
3202,Reed,Pollard,-751 809-5772,Worth,172860
4605,Alexander,Moses,-554 696-2836,Vegas,317280
3268,Scarlet,Massey,-277 557-5703,Springs,31988
7715,Carter,Gomez,-434 428-0891,Texas,201055
8800,Augustus,Schroeder,-236 369-1587,New,176550
5686,Mila,Hale,-883 590-7631,Oregon,96369
4334,Nadia,English,-774 206-5834,District,235592
5014,Memphis,Hogan,-883 690-6724,Minnesota,184350
6307,Shiloh,Walker,-479 240-4078,Hempstead,111403
5480,Damian,Barry,-684 309-3739,Alabama,291268
8641,Jaydan,Hardin,-543 904-2056,Michigan,268253
6889,Paloma,Hicks,-400 591-5755,North,238470
8689,Triston,Petersen,-363 955-8275,Wisconsin,284513
3388,Leland,Dickson,-262 721-9980,Christi,298627
3321,Irvin,Moss,-649 248-9291,Nebraska,175801
5387,Olive,Caldwell,-687 327-1725,Arizona,113791
5946,Joyce,Hurley,-924 855-1557,Vista,116363
8071,Jamarion,Vaughn,-977 882-5396,Illinois,78690
7122,Jamir,Goodwin,-232 333-1520,Kansas,183912
7600,Willie,Casey,-930 748-3579,Florida,112627
4201,Guillermo,Cordova,-847 721-9352,New,309017
6021,London,Benjamin,-457 573-2313,York,114657
5728,Asa,Hatfield,-778 225-9541,Indiana,180908
5087,Bronson,Rollins,-360 288-1873,Colorado,230638
9117,Saige,Robles,-600 562-1029,Ohio,105355
7346,Mckayla,Krause,-382 525-7910,Hawaii,31212
4144,Taylor,Conner,-965 229-8602,Idaho,31331
3346,Jon,Fischer,-992 670-2309,Ohio,221958
6884,Yaretzi,Vincent,-303 564-7730,Tennessee,152825
8668,Julianne,Santana,-733 857-4382,California,224042
